,X,isocode,country,Confirmed,Deaths,tests,MaxStringencyIndex,MeanStringencyIndex,MaxFacialCoverings,MeanFacialCoverings,MaxStayHome,MeanStayHome,totalvacci0tions,totalbooster,fullyvacnumber,logofConfirmed,logofDeaths,logofTests,logofTotalVaccines,logofTotalBoosters,logofFullyVacci0ted
66,65,GRC,Greece,966221,18595,3699475618,88.89,74.03224359,4,3.189102564,3,1.721153846,14788422,1696563,6663358,13.78114787,9.830648006,22.03145692,16.50935514,14.344115,15.71213412
67,66,GRL,Greenland,0,0,0,55.56,39.51672783,2,2,1,0.232415902,77808,0,37537,0,0,0,11.26199953,0,10.53308239
68,67,GUM,Guam,0,0,0,62.96,47.76865385,3,3,1,0.439102564,0,0,0,0,0,0,0,0,0
69,68,GTM,Guatemala,619852,15986,287140734,66.2,52.52333333,4,3.504587156,2,0.256880734,10266743,0,4176059,13.33723602,9.679468618,19.47548302,16.14442039,0,15.24487854
70,69,GIN,Guinea,30770,387,0,71.3,58.38618619,4,3.067278287,2,2,2493842,0,813477,10.33429547,5.958424693,0,14.72933505,0,13.60907293
71,70,GUY,Guya0,38160,1006,0,71.3,60.23287926,4,3.226006192,2,2,682779,0,280637,10.54954313,6.913737351,0,13.43392651,0,12.5448173
72,71,HTI,Haiti,25510,747,0,64.81,48.00321321,3,3,2,1.926605505,184769,0,66888,10.14682581,6.616065185,0,12.12686168,0,11.11077486
73,72,HND,Honduras,378251,10412,0,89.81,77.13297872,4,3.149847095,3,1.516819572,7960942,0,0,12.84331328,9.250714266,0,15.89005789,0,0
74,73,HKG,Hong Kong,0,0,207666928,71.3,66.59476923,2,2,1,1,9540544,0,4552531,0,0,19.15144605,16.07106106,0,15.3311939
75,74,HUN,Hungary,1134869,35122,1391527061,79.63,48.32469697,3,2.217125382,2,1.094801223,0,2765500,5867068,13.94202778,10.46658299,21.05366759,0,14.83273201,15.58486558
76,75,ISL,Iceland,18333,35,148616910,65.74,37.73858896,3,2.088957055,0,0,665013,153073,281402,9.816457994,3.555348061,18.81688248,13.40756187,11.93867021,12.54753953
77,76,IND,India,34641561,473537,1.30E+11,81.94,67.13403614,4,4,3,2.5382263,1278763558,0,477346183,17.3605647,13.06798533,25.58718306,20.96915948,0,19.98375254
78,77,IDN,Indonesia,4257685,143867,4835702971,71.76,68.73765766,4,3.825688073,2,1.837920489,241441928,0,99009581,15.26423614,11.87664454,22.29929235,19.30213954,0,18.41072718
79,78,IRN,Iran,6134465,130200,4059661925,81.48,74.6464,3,2.932307692,2,1.796923077,107531771,1287811,48149791,15.62943343,11.77682701,22.12436554,18.49329691,14.06845444,17.68982736
80,79,IRQ,Iraq,2084346,23885,3056527254,84.26,70.98947531,4,3.712962963,2,1.836419753,12268675,0,4723137,14.54996569,10.08100593,21.84054522,16.32255982,0,15.36798376
