"","X.1","X","isocode","country","Confirmed","Deaths","tests","MaxStringencyIndex","MeanStringencyIndex","MaxFacialCoverings","MeanFacialCoverings","MaxStayHome","MeanStayHome","totalvaccinations","totalbooster","fullyvacnumber","logofConfirmed","logofDeaths","logofTests","logofTotalVaccines","logofTotalBoosters","logofFullyVaccinated"
"29",107,106,"MLT","Malta",39934,468,327974281,75,52.6006306306306,4,3.55351681957187,0,0,971433,132189,432844,10.5949833703468,6.14846829591765,19.6084457516887,13.7865275799042,11.7919879956761,12.978132664933
"30",120,119,"NZL","New Zealand",12333,44,645825434,96.3,42.4793865030675,3,2.2760736196319,2,0.601226993865031,7736783,121522,3688689,9.42003387556599,3.78418963391826,20.2860397992231,15.8614965260916,11.7078505953304,15.1207816683354
"31",124,123,"NOR","Norway",284448,1093,1938599610,73.15,51.0617272727273,2,1.67584097859327,1,0.81651376146789,8799704,703289,3850609,12.5583057390414,6.99668148817654,21.3852316988467,15.9902286425191,13.4635231816221,15.1637418755727
"32",128,127,"PAN","Panama",479053,7374,920595190,89.81,68.3815197568389,4,4,3,2.26543209876543,5650424,201734,2437285,13.0795665174537,8.90571557879409,20.6405309644804,15.5472411445547,12.2147052769154,14.7063952728356
"33",130,129,"PRY","Paraguay",463260,16476,445876845,76.85,48.8614241486068,3,2.97741935483871,2,1.73584905660377,6216388,117151,2703605,13.0460437305309,9.70966005555597,19.9155533395658,15.642699588644,11.6712189799644,14.8100966255926
"34",131,130,"PER","Peru",2243415,201379,1240502624,86.11,72.8913455657492,4,3.85093167701863,3,2.29357798165138,42111301,992007,18576645,14.6235098164507,12.2129439837209,20.93878247637,17.5558266949351,13.8074854426937,16.7374157045392
"35",132,131,"PHL","Philippines",2834775,49386,4659585083,81.02,70.7603536977492,4,3.5048231511254,3,2.09967845659164,91777433,509944,38168603,14.857473126915,10.8074222622007,22.262192243137,18.3348769974834,13.14205619475,17.457523824628
"36",133,132,"POL","Poland",3671421,85675,5148674189,80.56,55.5675304878049,3,2.11009174311927,1,1,42672883,3637272,20521241,15.1160893385512,11.3583163467428,22.3620050794498,17.5690742179158,15.106744508085,16.836971054021
"37",134,133,"PRT","Portugal",1166787,18537,4387155098,87.96,63.2883024691358,3,2.78703703703704,2,1.0462962962963,17862361,1530075,9005089,13.9697643753298,9.82752401372909,22.201946812506,16.6982063195245,14.240827311775,16.0133004199415
"38",138,137,"RUS","Russia",9630296,275824,29754878977,61.57,44.7425465838509,3,2.35714285714286,3,0.698757763975155,130634456,4937582,58695024,16.0804245205813,12.5275182601348,24.1162589547185,18.6879135684939,15.4123862956485,17.8878655111881
"39",143,142,"SRB","Serbia",1263663,11917,1456342693,61.11,46.075329153605,3,2.66457680250784,1,0.758620689655172,7963609,1554127,3136806,14.0495252042171,9.38572123109081,21.0991941250981,15.8903928470293,14.2564245311522,14.9587156427358
"40",148,147,"SVN","Slovenia",430064,5303,428375293,85.19,51.0007294832827,4,3.03669724770642,2,0.827814569536424,2714211,321652,1157918,12.9716893138039,8.57602797713713,19.875510222139,14.8140118613808,12.6812254947586,13.9621341228634
"41",154,153,"ESP","Spain",5202958,88159,2165574134,78.7,57.010462962963,4,3.24382716049383,2,1.46604938271605,77157350,5499256,37655150,15.4647378679739,11.3868972813097,21.4959513521591,18.1613574011922,15.5201233683252,17.4439802890444
"42",159,158,"CHE","Switzerland",1044633,11591,2539016193,60.19,51.3710303030303,3,2.45871559633028,1,0.53822629969419,12045452,642345,5716809,13.859176185525,9.35798421388875,21.6550425173564,16.3041977192714,13.372880821511,15.5589213405573
"43",164,163,"THA","Thailand",2145241,20966,2567368997,75.93,56.0898498498498,4,3.21100917431193,2,1.37003058103976,93753156,3494673,41732668,14.5787624583453,9.95065735701252,21.6661474749015,18.3561758862482,15.0667503670411,17.5467947853431
"44",169,168,"TUN","Tunisia",718443,25401,285396724,85.19,60.6275975975976,4,3.35474006116208,2,1.6605504587156,10731223,469349,5247095,13.4848416494127,10.1425438223104,19.4693907843146,16.1886680876084,13.0591019071567,15.4731851480891
"45",170,169,"TUR","Turkey",8903087,77830,20021608175,87.04,61.7475151515152,4,4,3,1.04892966360856,120910438,13884811,50653666,16.001908628495,11.2622822399534,23.7200779360289,18.610560647673,16.4463060668191,17.7405221651118
"46",174,173,"ARE","United Arab Emirates",742328,2148,17560690811,66.2,53.5048048048048,3,2.80428134556575,1,0.0978593272171254,21548528,2914743,8832256,13.5175464729924,7.67229245562876,23.5889287644138,16.8858180659165,14.8852922092145,15.9939210325862
"47",175,174,"GBR","United Kingdom",10523316,146055,60171872501,87.96,59.7715757575758,3,3,2,0.617737003058104,117880359,20258417,46527302,16.1691039247314,11.891738542081,24.8204708458706,18.5851807612991,16.8240809194775,17.6555498380434
"48",178,177,"URY","Uruguay",400925,6134,805239215,87.04,61.0670303030303,2,2,1,0.886850152905199,6825827,1413713,2660281,12.901529656377,8.7216023446742,20.5066499527298,15.7362240638557,14.1617301345404,14.7939423142762
