location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Austria,2021-01-08,18-24,0.12,0.0
Austria,2021-01-08,25-49,0.39,0.0
Austria,2021-01-08,50-59,0.54,0.0
Austria,2021-01-08,60-69,0.33,0.0
Austria,2021-01-08,70-79,0.27,0.0
Austria,2021-01-08,80+,1.24,0.0
Austria,2021-01-15,18-24,0.45,0.0
Austria,2021-01-15,25-49,1.19,0.0
Austria,2021-01-15,50-59,1.81,0.01
Austria,2021-01-15,60-69,1.3,0.0
Austria,2021-01-15,70-79,1.29,0.01
Austria,2021-01-15,80+,6.06,0.02
Austria,2021-01-22,18-24,0.87,0.01
Austria,2021-01-22,25-49,2.17,0.04
Austria,2021-01-22,50-59,3.15,0.07
Austria,2021-01-22,60-69,2.12,0.06
Austria,2021-01-22,70-79,2.16,0.07
Austria,2021-01-22,80+,11.75,0.32
Austria,2021-01-29,18-24,1.04,0.1
Austria,2021-01-29,25-49,2.47,0.24
Austria,2021-01-29,50-59,3.54,0.37
Austria,2021-01-29,60-69,2.38,0.25
Austria,2021-01-29,70-79,2.37,0.23
Austria,2021-01-29,80+,14.12,1.04
Austria,2021-02-05,18-24,1.15,0.41
Austria,2021-02-05,25-49,2.69,1.07
Austria,2021-02-05,50-59,3.86,1.61
Austria,2021-02-05,60-69,2.57,1.14
Austria,2021-02-05,70-79,2.52,1.09
Austria,2021-02-05,80+,14.93,5.11
Austria,2021-02-12,18-24,1.52,0.8
Austria,2021-02-12,25-49,3.05,2.01
Austria,2021-02-12,50-59,4.31,2.91
Austria,2021-02-12,60-69,2.84,1.94
Austria,2021-02-12,70-79,2.73,1.88
Austria,2021-02-12,80+,15.85,10.31
Austria,2021-02-19,18-24,2.01,1.0
Austria,2021-02-19,25-49,3.72,2.36
Austria,2021-02-19,50-59,5.15,3.4
Austria,2021-02-19,60-69,3.35,2.25
Austria,2021-02-19,70-79,3.05,2.24
Austria,2021-02-19,80+,20.17,13.4
Austria,2021-02-26,18-24,2.96,1.13
Austria,2021-02-26,25-49,4.81,2.62
Austria,2021-02-26,50-59,6.45,3.77
Austria,2021-02-26,60-69,4.21,2.52
Austria,2021-02-26,70-79,3.54,2.42
Austria,2021-02-26,80+,27.79,14.08
Austria,2021-03-05,18-24,3.74,1.21
Austria,2021-03-05,25-49,5.88,2.77
Austria,2021-03-05,50-59,7.92,3.98
Austria,2021-03-05,60-69,5.34,2.67
Austria,2021-03-05,70-79,4.59,2.58
Austria,2021-03-05,80+,43.84,15.01
Austria,2021-03-12,18-24,5.13,1.25
Austria,2021-03-12,25-49,7.93,2.89
Austria,2021-03-12,50-59,10.42,4.17
Austria,2021-03-12,60-69,8.14,2.86
Austria,2021-03-12,70-79,8.17,2.86
Austria,2021-03-12,80+,57.46,19.18
Austria,2021-03-19,18-24,5.84,1.3
Austria,2021-03-19,25-49,9.27,3.0
Austria,2021-03-19,50-59,12.41,4.35
Austria,2021-03-19,60-69,11.01,3.11
Austria,2021-03-19,70-79,13.84,3.26
Austria,2021-03-19,80+,66.82,26.78
Austria,2021-03-26,18-24,6.48,1.38
Austria,2021-03-26,25-49,10.49,3.13
Austria,2021-03-26,50-59,14.24,4.64
Austria,2021-03-26,60-69,13.41,3.6
Austria,2021-03-26,70-79,19.04,4.04
Austria,2021-03-26,80+,71.86,42.27
Austria,2021-04-02,18-24,6.84,1.5
Austria,2021-04-02,25-49,11.06,3.31
Austria,2021-04-02,50-59,15.26,4.94
Austria,2021-04-02,60-69,15.06,4.23
Austria,2021-04-02,70-79,26.98,5.54
Austria,2021-04-02,80+,78.38,53.34
Austria,2021-04-09,18-24,7.17,2.22
Austria,2021-04-09,25-49,11.64,4.18
Austria,2021-04-09,50-59,16.38,6.12
Austria,2021-04-09,60-69,19.8,6.03
Austria,2021-04-09,70-79,40.5,9.08
Austria,2021-04-09,80+,84.14,62.67
Austria,2021-04-16,18-24,7.67,2.57
Austria,2021-04-16,25-49,12.74,4.68
Austria,2021-04-16,50-59,18.57,6.97
Austria,2021-04-16,60-69,27.77,7.65
Austria,2021-04-16,70-79,54.58,13.18
Austria,2021-04-16,80+,88.21,66.85
Austria,2021-04-23,18-24,8.55,2.73
Austria,2021-04-23,25-49,14.49,4.94
Austria,2021-04-23,50-59,22.33,7.37
Austria,2021-04-23,60-69,37.55,8.31
Austria,2021-04-23,70-79,63.83,15.54
Austria,2021-04-23,80+,90.17,71.14
Austria,2021-04-30,18-24,9.76,3.0
Austria,2021-04-30,25-49,16.39,5.26
Austria,2021-04-30,50-59,27.11,7.83
Austria,2021-04-30,60-69,49.03,9.38
Austria,2021-04-30,70-79,68.03,19.88
Austria,2021-04-30,80+,91.44,72.53
Austria,2021-05-07,18-24,11.72,3.58
Austria,2021-05-07,25-49,19.6,5.99
Austria,2021-05-07,50-59,34.22,8.83
Austria,2021-05-07,60-69,57.78,11.57
Austria,2021-05-07,70-79,71.59,26.46
Austria,2021-05-07,80+,92.93,74.64
Austria,2021-05-14,18-24,14.04,4.31
Austria,2021-05-14,25-49,23.1,6.94
Austria,2021-05-14,50-59,42.16,10.1
Austria,2021-05-14,60-69,64.22,13.82
Austria,2021-05-14,70-79,73.57,30.51
Austria,2021-05-14,80+,93.91,75.93
Austria,2021-05-21,18-24,16.85,5.41
Austria,2021-05-21,25-49,28.13,8.48
Austria,2021-05-21,50-59,49.28,12.37
Austria,2021-05-21,60-69,70.82,17.87
Austria,2021-05-21,70-79,75.55,36.39
Austria,2021-05-21,80+,95.02,80.0
Austria,2021-05-28,18-24,19.65,6.71
Austria,2021-05-28,25-49,32.37,10.75
Austria,2021-05-28,50-59,53.73,15.86
Austria,2021-05-28,60-69,73.99,23.37
Austria,2021-05-28,70-79,76.58,42.97
Austria,2021-05-28,80+,95.67,82.59
Austria,2021-06-04,18-24,24.01,8.3
Austria,2021-06-04,25-49,37.87,13.35
Austria,2021-06-04,50-59,58.85,20.06
Austria,2021-06-04,60-69,76.47,31.3
Austria,2021-06-04,70-79,77.52,49.89
Austria,2021-06-04,80+,96.3,84.1
Austria,2021-06-11,18-24,29.39,10.13
Austria,2021-06-11,25-49,43.05,16.62
Austria,2021-06-11,50-59,63.66,26.33
Austria,2021-06-11,60-69,77.96,42.3
Austria,2021-06-11,70-79,78.26,54.56
Austria,2021-06-11,80+,96.84,86.6
Austria,2021-06-18,18-24,34.14,12.46
Austria,2021-06-18,25-49,47.69,20.14
Austria,2021-06-18,50-59,66.55,33.12
Austria,2021-06-18,60-69,79.33,51.31
Austria,2021-06-18,70-79,79.0,59.07
Austria,2021-06-18,80+,97.41,88.79
Austria,2021-06-25,18-24,38.54,15.17
Austria,2021-06-25,25-49,51.66,24.51
Austria,2021-06-25,50-59,68.07,42.33
Austria,2021-06-25,60-69,80.26,58.33
Austria,2021-06-25,70-79,79.54,65.14
Austria,2021-06-25,80+,97.83,90.84
Austria,2021-07-02,18-24,43.29,19.87
Austria,2021-07-02,25-49,55.02,30.15
Austria,2021-07-02,50-59,69.54,49.57
Austria,2021-07-02,60-69,81.2,66.11
Austria,2021-07-02,70-79,80.12,71.75
Austria,2021-07-02,80+,98.28,92.37
Austria,2021-07-09,18-24,48.19,24.82
Austria,2021-07-09,25-49,57.34,35.97
Austria,2021-07-09,50-59,70.66,55.0
Austria,2021-07-09,60-69,82.0,70.8
Austria,2021-07-09,70-79,80.59,74.82
Austria,2021-07-09,80+,98.65,93.41
Austria,2021-07-16,18-24,50.61,29.66
Austria,2021-07-16,25-49,58.78,41.48
Austria,2021-07-16,50-59,71.64,59.77
Austria,2021-07-16,60-69,82.73,74.67
Austria,2021-07-16,70-79,81.06,76.37
Austria,2021-07-16,80+,99.01,94.25
Austria,2021-07-23,18-24,52.65,35.15
Austria,2021-07-23,25-49,60.1,46.33
Austria,2021-07-23,50-59,72.51,64.24
Austria,2021-07-23,60-69,83.39,76.95
Austria,2021-07-23,70-79,81.49,77.37
Austria,2021-07-23,80+,99.38,94.95
Austria,2021-07-30,18-24,53.85,40.36
Austria,2021-07-30,25-49,60.86,50.74
Austria,2021-07-30,50-59,73.03,66.85
Austria,2021-07-30,60-69,83.82,78.86
Austria,2021-07-30,70-79,81.78,78.23
Austria,2021-07-30,80+,99.65,95.57
Austria,2021-08-06,18-24,54.96,44.58
Austria,2021-08-06,25-49,61.61,54.61
Austria,2021-08-06,50-59,73.58,68.73
Austria,2021-08-06,60-69,84.25,80.29
Austria,2021-08-06,70-79,82.08,78.98
Austria,2021-08-06,80+,99.9,96.11
Austria,2021-08-13,18-24,55.68,47.93
Austria,2021-08-13,25-49,62.12,57.04
Austria,2021-08-13,50-59,73.95,69.97
Austria,2021-08-13,60-69,84.56,81.22
Austria,2021-08-13,70-79,82.29,79.57
Austria,2021-08-13,80+,100.09,96.57
Austria,2021-08-20,18-24,56.52,51.32
Austria,2021-08-20,25-49,62.74,58.67
Austria,2021-08-20,50-59,74.4,70.96
Austria,2021-08-20,60-69,84.9,81.98
Austria,2021-08-20,70-79,82.52,80.05
Austria,2021-08-20,80+,100.33,96.94
Austria,2021-08-27,18-24,57.42,52.7
Austria,2021-08-27,25-49,63.38,59.58
Austria,2021-08-27,50-59,74.85,71.54
Austria,2021-08-27,60-69,85.25,82.44
Austria,2021-08-27,70-79,82.77,80.36
Austria,2021-08-27,80+,100.56,97.19
Austria,2021-09-03,18-24,58.37,53.74
Austria,2021-09-03,25-49,64.04,60.3
Austria,2021-09-03,50-59,75.29,72.03
Austria,2021-09-03,60-69,85.59,82.82
Austria,2021-09-03,70-79,82.99,80.61
Austria,2021-09-03,80+,100.78,97.43
Austria,2021-09-10,18-24,59.43,54.66
Austria,2021-09-10,25-49,64.81,60.97
Austria,2021-09-10,50-59,75.77,72.46
Austria,2021-09-10,60-69,85.94,83.16
Austria,2021-09-10,70-79,83.23,80.84
Austria,2021-09-10,80+,101.01,97.65
Austria,2021-09-17,18-24,60.6,55.59
Austria,2021-09-17,25-49,65.66,61.64
Austria,2021-09-17,50-59,76.3,72.89
Austria,2021-09-17,60-69,86.32,83.49
Austria,2021-09-17,70-79,83.48,81.06
Austria,2021-09-17,80+,101.3,97.88
Austria,2021-09-24,18-24,61.72,56.54
Austria,2021-09-24,25-49,66.46,62.32
Austria,2021-09-24,50-59,76.8,73.33
Austria,2021-09-24,60-69,86.67,83.81
Austria,2021-09-24,70-79,83.73,81.28
Austria,2021-09-24,80+,101.58,98.12
Austria,2021-10-01,18-24,62.62,57.41
Austria,2021-10-01,25-49,67.07,62.9
Austria,2021-10-01,50-59,77.18,73.68
Austria,2021-10-01,60-69,86.94,84.08
Austria,2021-10-01,70-79,83.91,81.47
Austria,2021-10-01,80+,101.81,98.32
Austria,2021-10-08,18-24,63.37,58.27
Austria,2021-10-08,25-49,67.56,63.5
Austria,2021-10-08,50-59,77.47,74.05
Austria,2021-10-08,60-69,87.15,84.36
Austria,2021-10-08,70-79,84.07,81.69
Austria,2021-10-08,80+,102.04,98.6
Austria,2021-10-15,18-24,63.95,59.07
Austria,2021-10-15,25-49,67.96,64.05
Austria,2021-10-15,50-59,77.71,74.39
Austria,2021-10-15,60-69,87.32,84.63
Austria,2021-10-15,70-79,84.18,81.9
Austria,2021-10-15,80+,102.21,98.84
Austria,2021-10-22,18-24,64.66,59.81
Austria,2021-10-22,25-49,68.52,64.59
Austria,2021-10-22,50-59,78.04,74.71
Austria,2021-10-22,60-69,87.51,84.86
Austria,2021-10-22,70-79,84.3,82.09
Austria,2021-10-22,80+,102.37,99.06
Austria,2021-10-29,18-24,65.72,60.5
Austria,2021-10-29,25-49,69.4,65.08
Austria,2021-10-29,50-59,78.54,75.0
Austria,2021-10-29,60-69,87.73,85.05
Austria,2021-10-29,70-79,84.41,82.22
Austria,2021-10-29,80+,102.5,99.22
Austria,2021-11-05,18-24,67.33,61.19
Austria,2021-11-05,25-49,70.69,65.61
Austria,2021-11-05,50-59,79.27,75.33
Austria,2021-11-05,60-69,88.05,85.28
Austria,2021-11-05,70-79,84.56,82.38
Austria,2021-11-05,80+,102.66,99.43
Austria,2021-11-12,18-24,70.16,62.05
Austria,2021-11-12,25-49,72.81,66.26
Austria,2021-11-12,50-59,80.5,75.79
Austria,2021-11-12,60-69,88.75,85.62
Austria,2021-11-12,70-79,84.95,82.62
Austria,2021-11-12,80+,102.99,99.67
Austria,2021-11-19,18-24,72.11,63.03
Austria,2021-11-19,25-49,74.41,67.07
Austria,2021-11-19,50-59,81.47,76.35
Austria,2021-11-19,60-69,89.45,85.99
Austria,2021-11-19,70-79,85.37,82.89
Austria,2021-11-19,80+,103.41,99.94
Austria,2021-11-23,18-24,72.38,63.26
Austria,2021-11-23,25-49,74.66,67.28
Austria,2021-11-23,50-59,81.64,76.49
Austria,2021-11-23,60-69,89.61,86.08
Austria,2021-11-23,70-79,85.48,82.96
Austria,2021-11-23,80+,103.54,100.0
Belgium,2021-01-08,18-24,0.04,0.0
Belgium,2021-01-08,25-49,0.12,0.0
Belgium,2021-01-08,50-59,0.16,0.0
Belgium,2021-01-08,60-69,0.17,0.0
Belgium,2021-01-08,70-79,0.37,0.0
Belgium,2021-01-08,80+,2.3,0.0
Belgium,2021-01-15,18-24,0.24,0.0
Belgium,2021-01-15,25-49,0.53,0.0
Belgium,2021-01-15,50-59,0.75,0.0
Belgium,2021-01-15,60-69,0.71,0.0
Belgium,2021-01-15,70-79,1.58,0.0
Belgium,2021-01-15,80+,10.52,0.0
Belgium,2021-01-22,18-24,0.99,0.0
Belgium,2021-01-22,25-49,1.63,0.0
Belgium,2021-01-22,50-59,2.04,0.01
Belgium,2021-01-22,60-69,1.63,0.01
Belgium,2021-01-22,70-79,2.61,0.01
Belgium,2021-01-22,80+,15.16,0.07
Belgium,2021-01-29,18-24,1.53,0.04
Belgium,2021-01-29,25-49,2.38,0.11
Belgium,2021-01-29,50-59,2.89,0.16
Belgium,2021-01-29,60-69,2.17,0.16
Belgium,2021-01-29,70-79,3.04,0.36
Belgium,2021-01-29,80+,16.43,2.15
Belgium,2021-02-05,18-24,1.82,0.23
Belgium,2021-02-05,25-49,2.92,0.51
Belgium,2021-02-05,50-59,3.49,0.73
Belgium,2021-02-05,60-69,2.55,0.69
Belgium,2021-02-05,70-79,3.27,1.51
Belgium,2021-02-05,80+,17.06,9.99
Belgium,2021-02-12,18-24,2.02,0.92
Belgium,2021-02-12,25-49,3.32,1.5
Belgium,2021-02-12,50-59,4.01,1.92
Belgium,2021-02-12,60-69,2.85,1.56
Belgium,2021-02-12,70-79,3.41,2.52
Belgium,2021-02-12,80+,17.38,14.5
Belgium,2021-02-19,18-24,2.47,1.47
Belgium,2021-02-19,25-49,4.02,2.27
Belgium,2021-02-19,50-59,4.74,2.79
Belgium,2021-02-19,60-69,3.19,2.1
Belgium,2021-02-19,70-79,3.56,2.94
Belgium,2021-02-19,80+,17.52,15.76
Belgium,2021-02-26,18-24,3.19,1.72
Belgium,2021-02-26,25-49,5.38,2.71
Belgium,2021-02-26,50-59,6.15,3.27
Belgium,2021-02-26,60-69,3.67,2.42
Belgium,2021-02-26,70-79,3.72,3.17
Belgium,2021-02-26,80+,17.65,16.45
Belgium,2021-03-05,18-24,4.4,1.93
Belgium,2021-03-05,25-49,7.29,3.12
Belgium,2021-03-05,50-59,8.13,3.76
Belgium,2021-03-05,60-69,4.63,2.71
Belgium,2021-03-05,70-79,4.37,3.3
Belgium,2021-03-05,80+,18.76,16.75
Belgium,2021-03-12,18-24,5.5,2.33
Belgium,2021-03-12,25-49,8.85,3.74
Belgium,2021-03-12,50-59,9.83,4.47
Belgium,2021-03-12,60-69,6.32,3.12
Belgium,2021-03-12,70-79,6.05,3.46
Belgium,2021-03-12,80+,20.82,16.93
Belgium,2021-03-19,18-24,6.48,2.83
Belgium,2021-03-19,25-49,9.86,4.48
Belgium,2021-03-19,50-59,11.3,5.38
Belgium,2021-03-19,60-69,8.66,3.6
Belgium,2021-03-19,70-79,11.33,3.63
Belgium,2021-03-19,80+,34.01,17.09
Belgium,2021-03-26,18-24,7.03,3.35
Belgium,2021-03-26,25-49,10.51,5.18
Belgium,2021-03-26,50-59,12.2,6.33
Belgium,2021-03-26,60-69,10.5,4.3
Belgium,2021-03-26,70-79,18.57,4.13
Belgium,2021-03-26,80+,51.66,18.1
Belgium,2021-04-02,18-24,7.41,3.82
Belgium,2021-04-02,25-49,11.03,5.7
Belgium,2021-04-02,50-59,12.91,7.22
Belgium,2021-04-02,60-69,12.47,5.4
Belgium,2021-04-02,70-79,26.52,4.98
Belgium,2021-04-02,80+,73.76,19.11
Belgium,2021-04-09,18-24,7.75,4.08
Belgium,2021-04-09,25-49,11.47,6.04
Belgium,2021-04-09,50-59,13.75,7.67
Belgium,2021-04-09,60-69,17.46,6.03
Belgium,2021-04-09,70-79,52.49,6.35
Belgium,2021-04-09,80+,80.83,21.48
Belgium,2021-04-16,18-24,8.23,4.27
Belgium,2021-04-16,25-49,11.89,6.28
Belgium,2021-04-16,50-59,15.32,7.99
Belgium,2021-04-16,60-69,25.28,6.64
Belgium,2021-04-16,70-79,77.84,8.37
Belgium,2021-04-16,80+,83.25,29.03
Belgium,2021-04-23,18-24,8.79,4.41
Belgium,2021-04-23,25-49,12.51,6.44
Belgium,2021-04-23,50-59,19.01,8.17
Belgium,2021-04-23,60-69,40.64,7.0
Belgium,2021-04-23,70-79,88.29,9.25
Belgium,2021-04-23,80+,84.42,29.73
Belgium,2021-04-30,18-24,9.4,4.62
Belgium,2021-04-30,25-49,13.37,6.72
Belgium,2021-04-30,50-59,23.93,8.61
Belgium,2021-04-30,60-69,57.49,8.1
Belgium,2021-04-30,70-79,90.07,12.93
Belgium,2021-04-30,80+,85.49,32.8
Belgium,2021-05-07,18-24,10.04,4.95
Belgium,2021-05-07,25-49,15.71,7.21
Belgium,2021-05-07,50-59,32.84,9.51
Belgium,2021-05-07,60-69,75.28,10.35
Belgium,2021-05-07,70-79,91.53,20.32
Belgium,2021-05-07,80+,86.75,51.7
Belgium,2021-05-14,18-24,10.71,5.34
Belgium,2021-05-14,25-49,18.72,7.77
Belgium,2021-05-14,50-59,41.17,10.47
Belgium,2021-05-14,60-69,79.37,12.97
Belgium,2021-05-14,70-79,92.39,40.16
Belgium,2021-05-14,80+,87.43,56.82
Belgium,2021-05-21,18-24,11.37,6.4
Belgium,2021-05-21,25-49,22.91,9.33
Belgium,2021-05-21,50-59,56.65,13.06
Belgium,2021-05-21,60-69,82.23,19.23
Belgium,2021-05-21,70-79,93.03,52.48
Belgium,2021-05-21,80+,88.1,58.89
Belgium,2021-05-28,18-24,12.31,7.6
Belgium,2021-05-28,25-49,26.92,11.43
Belgium,2021-05-28,50-59,60.48,17.86
Belgium,2021-05-28,60-69,84.09,31.34
Belgium,2021-05-28,70-79,93.34,60.64
Belgium,2021-05-28,80+,88.46,60.33
Belgium,2021-06-04,18-24,14.41,8.75
Belgium,2021-06-04,25-49,32.98,13.82
Belgium,2021-06-04,50-59,71.69,23.29
Belgium,2021-06-04,60-69,89.15,46.34
Belgium,2021-06-04,70-79,93.77,63.03
Belgium,2021-06-04,80+,88.91,62.65
Belgium,2021-06-11,18-24,17.43,9.99
Belgium,2021-06-11,25-49,41.1,16.89
Belgium,2021-06-11,50-59,83.27,32.54
Belgium,2021-06-11,60-69,90.5,60.71
Belgium,2021-06-11,70-79,94.11,67.45
Belgium,2021-06-11,80+,89.24,73.54
Belgium,2021-06-18,18-24,24.35,11.14
Belgium,2021-06-18,25-49,56.44,20.95
Belgium,2021-06-18,50-59,85.79,39.14
Belgium,2021-06-18,60-69,91.05,64.83
Belgium,2021-06-18,70-79,94.39,70.72
Belgium,2021-06-18,80+,89.51,80.91
Belgium,2021-06-25,18-24,37.9,14.13
Belgium,2021-06-25,25-49,67.92,24.57
Belgium,2021-06-25,50-59,86.57,44.51
Belgium,2021-06-25,60-69,91.39,67.14
Belgium,2021-06-25,70-79,94.59,73.32
Belgium,2021-06-25,80+,89.71,84.56
Belgium,2021-07-02,18-24,51.84,16.35
Belgium,2021-07-02,25-49,74.25,28.21
Belgium,2021-07-02,50-59,87.05,48.46
Belgium,2021-07-02,60-69,91.65,70.81
Belgium,2021-07-02,70-79,94.75,77.54
Belgium,2021-07-02,80+,89.85,86.23
Belgium,2021-07-09,18-24,61.7,19.32
Belgium,2021-07-09,25-49,75.59,34.9
Belgium,2021-07-09,50-59,87.43,59.59
Belgium,2021-07-09,60-69,91.89,79.66
Belgium,2021-07-09,70-79,94.97,90.27
Belgium,2021-07-09,80+,90.03,87.27
Belgium,2021-07-16,18-24,67.78,23.33
Belgium,2021-07-16,25-49,76.64,42.84
Belgium,2021-07-16,50-59,87.87,73.39
Belgium,2021-07-16,60-69,92.22,84.16
Belgium,2021-07-16,70-79,95.25,92.82
Belgium,2021-07-16,80+,90.27,87.79
Belgium,2021-07-23,18-24,69.83,30.98
Belgium,2021-07-23,25-49,77.3,55.74
Belgium,2021-07-23,50-59,88.24,77.82
Belgium,2021-07-23,60-69,92.47,87.37
Belgium,2021-07-23,70-79,95.44,93.57
Belgium,2021-07-23,80+,90.44,88.19
Belgium,2021-07-30,18-24,71.09,42.44
Belgium,2021-07-30,25-49,77.91,66.46
Belgium,2021-07-30,50-59,88.57,80.88
Belgium,2021-07-30,60-69,92.68,90.41
Belgium,2021-07-30,70-79,95.59,94.14
Belgium,2021-07-30,80+,90.57,88.56
Belgium,2021-08-06,18-24,72.28,54.6
Belgium,2021-08-06,25-49,78.56,73.06
Belgium,2021-08-06,50-59,88.9,83.23
Belgium,2021-08-06,60-69,92.9,91.31
Belgium,2021-08-06,70-79,95.73,94.55
Belgium,2021-08-06,80+,90.67,88.81
Belgium,2021-08-13,18-24,73.21,63.24
Belgium,2021-08-13,25-49,79.14,75.62
Belgium,2021-08-13,50-59,89.17,87.5
Belgium,2021-08-13,60-69,93.05,92.04
Belgium,2021-08-13,70-79,95.85,94.86
Belgium,2021-08-13,80+,90.77,89.02
Belgium,2021-08-20,18-24,74.0,68.33
Belgium,2021-08-20,25-49,79.64,76.7
Belgium,2021-08-20,50-59,89.35,87.98
Belgium,2021-08-20,60-69,93.16,92.29
Belgium,2021-08-20,70-79,95.93,95.02
Belgium,2021-08-20,80+,90.83,89.14
Belgium,2021-08-27,18-24,74.78,70.53
Belgium,2021-08-27,25-49,80.12,77.57
Belgium,2021-08-27,50-59,89.51,88.41
Belgium,2021-08-27,60-69,93.24,92.52
Belgium,2021-08-27,70-79,95.99,95.19
Belgium,2021-08-27,80+,90.88,89.27
Belgium,2021-09-03,18-24,75.6,71.83
Belgium,2021-09-03,25-49,80.58,78.27
Belgium,2021-09-03,50-59,89.66,88.73
Belgium,2021-09-03,60-69,93.32,92.69
Belgium,2021-09-03,70-79,96.05,95.31
Belgium,2021-09-03,80+,90.93,89.35
Belgium,2021-09-10,18-24,76.26,72.74
Belgium,2021-09-10,25-49,80.97,78.82
Belgium,2021-09-10,50-59,89.8,88.93
Belgium,2021-09-10,60-69,93.4,92.8
Belgium,2021-09-10,70-79,96.11,95.39
Belgium,2021-09-10,80+,90.97,89.4
Belgium,2021-09-17,18-24,76.88,73.61
Belgium,2021-09-17,25-49,81.31,79.35
Belgium,2021-09-17,50-59,89.93,89.13
Belgium,2021-09-17,60-69,93.47,92.89
Belgium,2021-09-17,70-79,96.16,95.46
Belgium,2021-09-17,80+,91.0,89.44
Belgium,2021-09-24,18-24,77.61,74.48
Belgium,2021-09-24,25-49,81.7,79.88
Belgium,2021-09-24,50-59,90.09,89.32
Belgium,2021-09-24,60-69,93.57,92.99
Belgium,2021-09-24,70-79,96.22,95.53
Belgium,2021-09-24,80+,91.05,89.49
Belgium,2021-10-01,18-24,78.27,75.34
Belgium,2021-10-01,25-49,82.07,80.37
Belgium,2021-10-01,50-59,90.23,89.49
Belgium,2021-10-01,60-69,93.65,93.09
Belgium,2021-10-01,70-79,96.27,95.59
Belgium,2021-10-01,80+,91.1,89.54
Belgium,2021-10-08,18-24,78.78,75.94
Belgium,2021-10-08,25-49,82.34,80.69
Belgium,2021-10-08,50-59,90.34,89.61
Belgium,2021-10-08,60-69,93.73,93.16
Belgium,2021-10-08,70-79,96.32,95.64
Belgium,2021-10-08,80+,91.15,89.61
Belgium,2021-10-15,18-24,79.27,76.62
Belgium,2021-10-15,25-49,82.61,81.06
Belgium,2021-10-15,50-59,90.44,89.75
Belgium,2021-10-15,60-69,93.79,93.24
Belgium,2021-10-15,70-79,96.37,95.7
Belgium,2021-10-15,80+,91.21,89.7
Belgium,2021-10-22,18-24,79.71,77.19
Belgium,2021-10-22,25-49,82.87,81.4
Belgium,2021-10-22,50-59,90.55,89.89
Belgium,2021-10-22,60-69,93.86,93.32
Belgium,2021-10-22,70-79,96.42,95.77
Belgium,2021-10-22,80+,91.27,89.78
Belgium,2021-10-29,18-24,80.18,77.8
Belgium,2021-10-29,25-49,83.18,81.74
Belgium,2021-10-29,50-59,90.68,90.02
Belgium,2021-10-29,60-69,93.94,93.4
Belgium,2021-10-29,70-79,96.49,95.83
Belgium,2021-10-29,80+,91.34,89.84
Belgium,2021-11-05,18-24,80.64,78.26
Belgium,2021-11-05,25-49,83.46,82.0
Belgium,2021-11-05,50-59,90.79,90.13
Belgium,2021-11-05,60-69,94.02,93.47
Belgium,2021-11-05,70-79,96.54,95.87
Belgium,2021-11-05,80+,91.39,89.88
Belgium,2021-11-12,18-24,81.05,78.7
Belgium,2021-11-12,25-49,83.73,82.26
Belgium,2021-11-12,50-59,90.89,90.23
Belgium,2021-11-12,60-69,94.08,93.53
Belgium,2021-11-12,70-79,96.59,95.92
Belgium,2021-11-12,80+,91.44,89.93
Belgium,2021-11-19,18-24,81.23,78.91
Belgium,2021-11-19,25-49,83.84,82.37
Belgium,2021-11-19,50-59,90.93,90.27
Belgium,2021-11-19,60-69,94.11,93.56
Belgium,2021-11-19,70-79,96.61,95.94
Belgium,2021-11-19,80+,91.46,89.95
Bulgaria,2021-01-08,18-24,0.04,0.0
Bulgaria,2021-01-08,25-49,0.18,0.0
Bulgaria,2021-01-08,50-59,0.46,0.0
Bulgaria,2021-01-08,60-69,0.39,0.0
Bulgaria,2021-01-08,70-79,0.12,0.0
Bulgaria,2021-01-08,80+,0.04,0.0
Bulgaria,2021-01-15,18-24,0.05,0.0
Bulgaria,2021-01-15,25-49,0.24,0.0
Bulgaria,2021-01-15,50-59,0.62,0.0
Bulgaria,2021-01-15,60-69,0.53,0.0
Bulgaria,2021-01-15,70-79,0.17,0.0
Bulgaria,2021-01-15,80+,0.06,0.0
Bulgaria,2021-01-22,18-24,0.06,0.01
Bulgaria,2021-01-22,25-49,0.29,0.06
Bulgaria,2021-01-22,50-59,0.72,0.17
Bulgaria,2021-01-22,60-69,0.63,0.13
Bulgaria,2021-01-22,70-79,0.2,0.04
Bulgaria,2021-01-22,80+,0.07,0.01
Bulgaria,2021-01-29,18-24,0.07,0.04
Bulgaria,2021-01-29,25-49,0.37,0.17
Bulgaria,2021-01-29,50-59,0.91,0.45
Bulgaria,2021-01-29,60-69,0.82,0.38
Bulgaria,2021-01-29,70-79,0.29,0.12
Bulgaria,2021-01-29,80+,0.12,0.04
Bulgaria,2021-02-05,18-24,0.1,0.05
Bulgaria,2021-02-05,25-49,0.51,0.23
Bulgaria,2021-02-05,50-59,1.29,0.59
Bulgaria,2021-02-05,60-69,1.13,0.51
Bulgaria,2021-02-05,70-79,0.42,0.16
Bulgaria,2021-02-05,80+,0.31,0.05
Bulgaria,2021-02-12,18-24,0.13,0.06
Bulgaria,2021-02-12,25-49,0.75,0.27
Bulgaria,2021-02-12,50-59,1.8,0.69
Bulgaria,2021-02-12,60-69,1.47,0.61
Bulgaria,2021-02-12,70-79,0.52,0.2
Bulgaria,2021-02-12,80+,0.41,0.06
