,isocode,country,Confirmed,Deaths,tests,MaxStringencyIndex,MeanStringencyIndex,MaxFacialCoverings,MeanFacialCoverings,MaxStayHome,MeanStayHome,totalvaccinations,totalbooster,fullyvacnumber
40,HRV,Croatia,631037.0,11218.0,511306401.0,67.59,43.101021021021005,4.0,2.87461773700306,1.0,0.0336391437308868,4245741.0,0.0,1979003.0
41,CUB,Cuba,963090.0,8309.0,584281418.0,81.48,72.30794478527609,4.0,3.30153846153846,2.0,1.72085889570552,28623729.0,0.0,9280509.0
42,CYP,Cyprus,136832.0,601.0,2624616420.0,84.26,57.6252852852853,4.0,2.90214067278287,2.0,1.13149847094801,1339063.0,128838.0,585087.0
43,CZE,Czechia,2240721.0,33665.0,0.0,81.48,51.7800303951368,4.0,2.7094801223241602,2.0,0.5535168195718649,13851362.0,1134875.0,6415104.0
44,COD,Democratic Republic of Congo,,,0.0,52.78,38.1011111111111,3.0,3.0,2.0,1.82874617737003,193416.0,0.0,56167.0
45,DNK,Denmark,514609.0,2959.0,10217259118.0,70.37,49.54003003003,3.0,2.18042813455657,1.0,0.428134556574924,9911854.0,914751.0,4463547.0
46,DJI,Djibouti,13508.0,187.0,0.0,54.63,45.0263580246914,4.0,3.45987654320988,0.0,0.0,104475.0,0.0,26087.0
47,DMA,Dominica,6120.0,39.0,0.0,79.63,44.455956112852704,4.0,2.40752351097179,2.0,1.3291536050156698,55760.0,0.0,26852.0
48,DOM,Dominican Republic,408516.0,4212.0,188401519.0,70.37,63.107545454545495,4.0,3.38837920489297,2.0,1.8654434250764498,13866766.0,1356217.0,5619966.0
49,ECU,Ecuador,526870.0,33250.0,431172513.0,76.85,63.636156156156204,3.0,2.9051987767584104,3.0,1.15596330275229,25309620.0,439649.0,11501793.0
50,EGY,Egypt,363162.0,20727.0,0.0,65.74,49.6985256410256,4.0,3.9935897435897405,1.0,0.4775641025641029,40644158.0,0.0,15515855.0
51,SLV,El Salvador,119803.0,3783.0,83439357.0,47.22,33.653198757764,4.0,3.5217391304347796,2.0,0.31987577639751597,9241093.0,720514.0,4081545.0
52,ERI,Eritrea,7458.0,61.0,0.0,92.59,67.56081081081079,3.0,2.71253822629969,2.0,1.4801223241590198,,,
53,EST,Estonia,224993.0,1823.0,491108374.0,67.59,38.8080606060606,2.0,1.87155963302752,2.0,0.198776758409786,1487367.0,0.0,793696.0
54,SWZ,Eswatini,47504.0,1248.0,0.0,75.0,62.14411042944779,4.0,3.97546012269939,2.0,1.8282208588957098,306445.0,0.0,260763.0
55,ETH,Ethiopia,372215.0,6800.0,750408786.0,51.85,43.8112612612613,4.0,3.1100917431192703,0.0,0.0,10058925.0,0.0,1452584.0
56,FRO,Faeroe Islands,,,0.0,59.26,35.4982282282282,2.0,1.22324159021407,1.0,0.577981651376147,78347.0,0.0,38142.0
57,FJI,Fiji,52543.0,697.0,17196741.0,90.74,67.0327868852459,2.0,1.8429487179487198,2.0,2.0,1237108.0,0.0,585788.0
58,FIN,Finland,191226.0,1360.0,1755360835.0,52.31,44.29117117117121,2.0,1.4281345565749197,1.0,0.9296636085626909,8357278.0,0.0,4054134.0
59,FRA,France,8021237.0,120519.0,0.0,75.0,62.1305120481928,4.0,3.2538226299694197,2.0,1.03975535168196,107043866.0,8760595.0,47303279.0
60,GAB,Gabon,37477.0,280.0,48242298.0,71.3,64.1036809815951,3.0,3.0,2.0,2.0,277979.0,0.0,111626.0
