,isocode,country,Confirmed,Deaths
181,VCT,Saint Vincent and the Grenadines,5623,76
182,VEN,Venezuela,434918,5193
183,VIR,United States,7539,87
184,VNM,Vietnam,1309092,26260
185,VUT,Vanuatu,6,1
186,WSM,Samoa,3,0
187,YEM,Yemen,10025,1954
188,ZAF,South Africa,3031694,89966
189,ZMB,Zambia,210312,3667
190,ZWE,Zimbabwe,139046,4710
