isocode,country,totalvaccinations,totalbooster,fullyvacnumber
SLB,Solomon Islands,208046,0,46525
GRL,Greenland,77808,0,37537
DMA,Dominica,55760,0,26852
TKL,Tokelau,1936,0,968
ITA,Italy,98729849,8682311,44154825
BMU,Bermuda,101341,5512,47365
SHN,Saint Helena,7892,0,3531
OWID_EUR,Europe,976196027,84438567,439537728
TGO,Togo,1665087,0,567834
BIH,Bosnia and Herzegovina,1553874,0,720641
SWZ,Eswatini,306445,0,260763
FIN,Finland,8357278,0,4054134
JOR,Jordan,7950684,0,3776263
MDV,Maldives,775843,15416,364520
OWID_NIR,Northern Ireland,3094393,443222,1276190
ABW,Aruba,161913,0,78159
AFG,Afghanistan,5228706,0,3566192
ZWE,Zimbabwe,6759589,0,2884043
PRY,Paraguay,6216388,117151,2703605
WLF,Wallis and Futuna,11939,0,5923
LVA,Latvia,2220155,0,1207491
MKD,North Macedonia,1675793,63137,789905
KNA,Saint Kitts and Nevis,52924,0,24997
OWID_NAM,North America,760753065,50657320,329052508
TTO,Trinidad and Tobago,1297311,0,648391
CUW,Curacao,198653,0,95517
NOR,Norway,8799704,703289,3850609
GBR,United Kingdom,117880359,20258417,46527302
USA,United States,470297846,46219529,197440859
OWID_SCT,Scotland,10170001,1859735,3958162
VCT,Saint Vincent and the Grenadines,55950,0,23388
AND,Andorra,104534,0,49535
AGO,Angola,9847459,0,3072475
KOR,South Korea,86476510,3956401,41341888
TUR,Turkey,120910438,13884811,50653666
DJI,Djibouti,104475,0,26087
CUB,Cuba,28623729,0,9280509
BEL,Belgium,19226776,2083019,8712921
BFA,Burkina Faso,661796,0,297231
SAU,Saudi Arabia,47701071,0,22620922
VEN,Venezuela,26314390,0,9858581
OWID_CYN,Northern Cyprus,617389,80243,275988
LBN,Lebanon,3660210,0,1710771
LTU,Lithuania,3770993,356740,1790996
ROU,Romania,15095967,0,7507203
BDI,Burundi,1711,0,914
DEU,Germany,127656766,13914334,57383300
NIC,Nicaragua,6376188,0,2322298
PRT,Portugal,17862361,1530075,9005089
PCN,Pitcairn,94,0,47
TKM,Turkmenistan,7580976,0,3206282
ISR,Israel,16254505,4100290,5782188
VUT,Vanuatu,129582,0,40110
ISL,Iceland,665013,153073,281402
LAO,Laos,5830021,0,3099003
HKG,Hong Kong,9540544,0,4552531
CAF,Central African Republic,422496,0,321982
ARG,Argentina,69891521,2490555,30265301
LBY,Libya,2377003,0,666531
COD,Democratic Republic of Congo,193416,0,56167
HTI,Haiti,184769,0,66888
OMN,Oman,5934585,0,2828176
OWID_WRL,World,8210433733,272035138,3496411602
OWID_SAM,South America,601262241,32823086,258556221
OWID_EUN,European Union,656293698,56027116,301986049
URY,Uruguay,6825827,1413713,2660281
SUR,Suriname,479697,0,221199
TLS,Timor,1112223,0,465372
SSD,South Sudan,218154,0,133315
PAN,Panama,5650424,201734,2437285
LKA,Sri Lanka,29707010,0,13763844
PAK,Pakistan,126586512,0,52303524
MWI,Malawi,1476957,0,617998
MSR,Montserrat,2949,0,1417
